"","dict_cid","jake_cid","dict_cid_q","jake_cid_q1","jake_cid_q2","jake_cid_q3","jake_q","checked_spec","checked_q"
"1",255248624,"255248624",121490150,"121490150","920576363","804504024","121490150",TRUE,TRUE
"2",945532934,"945532934",121490150,"121490150","920576363","804504024","121490150",TRUE,TRUE
"3",469838242,"469838242",121490150,"121490150","920576363","804504024","121490150",TRUE,TRUE
"4",303500597,"303500597",121490150,"121490150","920576363","804504024","121490150",TRUE,TRUE
"5",195068098,"195068098",121490150,"121490150","920576363","804504024","121490150",TRUE,TRUE
"6",202784871,"202784871",121490150,"121490150","920576363","804504024","121490150",TRUE,TRUE
"7",831127170,"831127170",121490150,"121490150","920576363","804504024","121490150",TRUE,TRUE
"8",725583683,"725583683",920576363,"121490150","920576363","804504024","920576363",TRUE,TRUE
"9",917021073,"917021073",920576363,"121490150","920576363","804504024","920576363",TRUE,TRUE
"10",970000442,"970000442",920576363,"121490150","920576363","804504024","920576363",TRUE,TRUE
"11",500100435,"500100435",920576363,"121490150","920576363","804504024","920576363",TRUE,TRUE
"12",105043152,"105043152",804504024,"121490150","920576363","804504024","804504024",TRUE,TRUE
"13",543135391,"543135391",804504024,"121490150","920576363","804504024","804504024",TRUE,TRUE
"14",985267931,"985267931",574985342,"574985342","444145120","398762737","574985342",TRUE,TRUE
"15",111275683,"111275683",574985342,"574985342","444145120","398762737","574985342",TRUE,TRUE
"16",129226572,"129226572",574985342,"574985342","444145120","398762737","574985342",TRUE,TRUE
"17",536516743,"536516743",574985342,"574985342","444145120","398762737","574985342",TRUE,TRUE
"18",283900560,"283900560",574985342,"574985342","444145120","398762737","574985342",TRUE,TRUE
"19",467947502,"467947502",574985342,"574985342","444145120","398762737","574985342",TRUE,TRUE
"20",368486703,"368486703",574985342,"574985342","444145120","398762737","574985342",TRUE,TRUE
"21",288498031,"288498031",444145120,"574985342","444145120","398762737","444145120",TRUE,TRUE
"22",195845897,"195845897",444145120,"574985342","444145120","398762737","444145120",TRUE,TRUE
"23",936129960,"936129960",444145120,"574985342","444145120","398762737","444145120",TRUE,TRUE
"24",924583345,"924583345",444145120,"574985342","444145120","398762737","444145120",TRUE,TRUE
"25",553357862,"553357862",398762737,"574985342","444145120","398762737","398762737",TRUE,TRUE
"26",474541595,"474541595",398762737,"574985342","444145120","398762737","398762737",TRUE,TRUE
"27",875706715,"875706715",828086036,"828086036","752101258","961572487","828086036",TRUE,TRUE
"28",645150792,"645150792",828086036,"828086036","752101258","961572487","828086036",TRUE,TRUE
"29",585360350,"585360350",828086036,"828086036","752101258","961572487","828086036",TRUE,TRUE
"30",588699608,"588699608",828086036,"828086036","752101258","961572487","828086036",TRUE,TRUE
"31",544692849,"544692849",828086036,"828086036","752101258","961572487","828086036",TRUE,TRUE
"32",335435992,"335435992",828086036,"828086036","752101258","961572487","828086036",TRUE,TRUE
"33",337088272,"337088272",828086036,"828086036","752101258","961572487","828086036",TRUE,TRUE
"34",648495207,"648495207",752101258,"828086036","752101258","961572487","752101258",TRUE,TRUE
"35",300933270,"300933270",752101258,"828086036","752101258","961572487","752101258",TRUE,TRUE
"36",649864362,"649864362",752101258,"828086036","752101258","961572487","752101258",TRUE,TRUE
"37",723108194,"723108194",752101258,"828086036","752101258","961572487","752101258",TRUE,TRUE
"38",469679476,"469679476",961572487,"828086036","752101258","961572487","961572487",TRUE,TRUE
"39",216954796,"216954796",961572487,"828086036","752101258","961572487","961572487",TRUE,TRUE
"40",130174162,"130174162",680046149,"680046149","879180101","746604821","680046149",TRUE,TRUE
"41",563832508,"563832508",680046149,"680046149","879180101","746604821","680046149",TRUE,TRUE
"42",817839081,"817839081",680046149,"680046149","879180101","746604821","680046149",TRUE,TRUE
"43",930511603,"930511603",680046149,"680046149","879180101","746604821","680046149",TRUE,TRUE
"44",756548442,"756548442",680046149,"680046149","879180101","746604821","680046149",TRUE,TRUE
"45",455968200,"455968200",680046149,"680046149","879180101","746604821","680046149",TRUE,TRUE
"46",728704613,"728704613",680046149,"680046149","879180101","746604821","680046149",TRUE,TRUE
"47",931999203,"931999203",879180101,"680046149","879180101","746604821","879180101",TRUE,TRUE
"48",486511102,"486511102",879180101,"680046149","879180101","746604821","879180101",TRUE,TRUE
"49",267027102,"267027102",879180101,"680046149","879180101","746604821","879180101",TRUE,TRUE
"50",734345879,"734345879",879180101,"680046149","879180101","746604821","879180101",TRUE,TRUE
"51",423713680,"423713680",746604821,"680046149","879180101","746604821","746604821",TRUE,TRUE
"52",555767576,"555767576",746604821,"680046149","879180101","746604821","746604821",TRUE,TRUE
"53",838725845,"838725845",274189667,"274189667","212343294","298296694","274189667",TRUE,TRUE
"54",565515774,"565515774",274189667,"274189667","212343294","298296694","274189667",TRUE,TRUE
"55",848348504,"848348504",274189667,"274189667","212343294","298296694","274189667",TRUE,TRUE
"56",742177990,"742177990",274189667,"274189667","212343294","298296694","274189667",TRUE,TRUE
"57",843508307,"843508307",274189667,"274189667","212343294","298296694","274189667",TRUE,TRUE
"58",554901696,"554901696",274189667,"274189667","212343294","298296694","274189667",TRUE,TRUE
"59",819429013,"819429013",274189667,"274189667","212343294","298296694","274189667",TRUE,TRUE
"60",445867902,"445867902",212343294,"274189667","212343294","298296694","212343294",TRUE,TRUE
"61",348049244,"348049244",212343294,"274189667","212343294","298296694","212343294",TRUE,TRUE
"62",684217044,"684217044",212343294,"274189667","212343294","298296694","212343294",TRUE,TRUE
"63",600319581,"600319581",212343294,"274189667","212343294","298296694","212343294",TRUE,TRUE
"64",915527263,"915527263",298296694,"274189667","212343294","298296694","298296694",TRUE,TRUE
"65",325919807,"325919807",298296694,"274189667","212343294","298296694","298296694",TRUE,TRUE
"66",306805272,"306805272",113930886,"113930886","255474241","205492848","113930886",TRUE,TRUE
"67",819844467,"819844467",113930886,"113930886","255474241","205492848","113930886",TRUE,TRUE
"68",164233037,"164233037",113930886,"113930886","255474241","205492848","113930886",TRUE,TRUE
"69",418702418,"418702418",113930886,"113930886","255474241","205492848","113930886",TRUE,TRUE
"70",101219440,"101219440",113930886,"113930886","255474241","205492848","113930886",TRUE,TRUE
"71",127963610,"127963610",113930886,"113930886","255474241","205492848","113930886",TRUE,TRUE
"72",882731998,"882731998",113930886,"113930886","255474241","205492848","113930886",TRUE,TRUE
"73",218334768,"218334768",255474241,"113930886","255474241","205492848","255474241",TRUE,TRUE
"74",394294282,"394294282",255474241,"113930886","255474241","205492848","255474241",TRUE,TRUE
"75",803526907,"803526907",255474241,"113930886","255474241","205492848","255474241",TRUE,TRUE
"76",941168091,"941168091",255474241,"113930886","255474241","205492848","255474241",TRUE,TRUE
"77",756458580,"756458580",205492848,"113930886","255474241","205492848","205492848",TRUE,TRUE
"78",481599610,"481599610",205492848,"113930886","255474241","205492848","205492848",TRUE,TRUE
"79",351559015,"351559015",809728747,"809728747","201906316","581231591","809728747",TRUE,TRUE
"80",903490632,"903490632",809728747,"809728747","201906316","581231591","809728747",TRUE,TRUE
"81",906119853,"906119853",809728747,"809728747","201906316","581231591","809728747",TRUE,TRUE
"82",703944664,"703944664",809728747,"809728747","201906316","581231591","809728747",TRUE,TRUE
"83",390463636,"390463636",809728747,"809728747","201906316","581231591","809728747",TRUE,TRUE
"84",256790385,"256790385",809728747,"809728747","201906316","581231591","809728747",TRUE,TRUE
"85",915222355,"915222355",809728747,"809728747","201906316","581231591","809728747",TRUE,TRUE
"86",476697171,"476697171",201906316,"809728747","201906316","581231591","201906316",TRUE,TRUE
"87",605344820,"605344820",201906316,"809728747","201906316","581231591","201906316",TRUE,TRUE
"88",814644814,"814644814",201906316,"809728747","201906316","581231591","201906316",TRUE,TRUE
"89",627992821,"627992821",201906316,"809728747","201906316","581231591","201906316",TRUE,TRUE
"90",732107715,"732107715",581231591,"809728747","201906316","581231591","581231591",TRUE,TRUE
"91",803219073,"803219073",581231591,"809728747","201906316","581231591","581231591",TRUE,TRUE
"92",893639464,"893639464",539057792,"539057792","864213677","123104885","539057792",TRUE,TRUE
"93",438475588,"438475588",539057792,"539057792","864213677","123104885","539057792",TRUE,TRUE
"94",194165243,"194165243",539057792,"539057792","864213677","123104885","539057792",TRUE,TRUE
"95",744290061,"744290061",539057792,"539057792","864213677","123104885","539057792",TRUE,TRUE
"96",516936572,"516936572",539057792,"539057792","864213677","123104885","539057792",TRUE,TRUE
"97",673034401,"673034401",539057792,"539057792","864213677","123104885","539057792",TRUE,TRUE
"98",489019597,"489019597",539057792,"539057792","864213677","123104885","539057792",TRUE,TRUE
"99",280877371,"280877371",864213677,"539057792","864213677","123104885","864213677",TRUE,TRUE
"100",463064782,"463064782",864213677,"539057792","864213677","123104885","864213677",TRUE,TRUE
"101",865310914,"865310914",864213677,"539057792","864213677","123104885","864213677",TRUE,TRUE
"102",900377581,"900377581",864213677,"539057792","864213677","123104885","864213677",TRUE,TRUE
"103",707276214,"707276214",123104885,"539057792","864213677","123104885","123104885",TRUE,TRUE
"104",462701424,"462701424",123104885,"539057792","864213677","123104885","123104885",TRUE,TRUE
"105",988266183,"988266183",537011756,"537011756","964853797","890661849","537011756",TRUE,TRUE
"106",709374950,"709374950",537011756,"537011756","964853797","890661849","537011756",TRUE,TRUE
"107",853931010,"853931010",537011756,"537011756","964853797","890661849","537011756",TRUE,TRUE
"108",351559021,"351559021",537011756,"537011756","964853797","890661849","537011756",TRUE,TRUE
"109",290370013,"290370013",537011756,"537011756","964853797","890661849","537011756",TRUE,TRUE
"110",453691095,"453691095",537011756,"537011756","964853797","890661849","537011756",TRUE,TRUE
"111",202104231,"202104231",537011756,"537011756","964853797","890661849","537011756",TRUE,TRUE
"112",548773158,"548773158",964853797,"537011756","964853797","890661849","964853797",TRUE,TRUE
"113",487043303,"487043303",964853797,"537011756","964853797","890661849","964853797",TRUE,TRUE
"114",659122266,"659122266",964853797,"537011756","964853797","890661849","964853797",TRUE,TRUE
"115",388427546,"388427546",964853797,"537011756","964853797","890661849","964853797",TRUE,TRUE
"116",174111872,"174111872",890661849,"537011756","964853797","890661849","890661849",TRUE,TRUE
"117",735022625,"735022625",890661849,"537011756","964853797","890661849","890661849",TRUE,TRUE
"118",264707783,"264707783",171937884,"171937884","787064287","902193418","171937884",TRUE,TRUE
"119",666011940,"666011940",171937884,"171937884","787064287","902193418","171937884",TRUE,TRUE
"120",981594981,"981594981",171937884,"171937884","787064287","902193418","171937884",TRUE,TRUE
"121",282089547,"282089547",171937884,"171937884","787064287","902193418","171937884",TRUE,TRUE
"122",612617245,"612617245",171937884,"171937884","787064287","902193418","171937884",TRUE,TRUE
"123",674024553,"674024553",171937884,"171937884","787064287","902193418","171937884",TRUE,TRUE
"124",886247195,"886247195",171937884,"171937884","787064287","902193418","171937884",TRUE,TRUE
"125",891573875,"891573875",787064287,"171937884","787064287","902193418","787064287",TRUE,TRUE
"126",862255177,"862255177",787064287,"171937884","787064287","902193418","787064287",TRUE,TRUE
"127",972332937,"972332937",787064287,"171937884","787064287","902193418","787064287",TRUE,TRUE
"128",429200007,"429200007",787064287,"171937884","787064287","902193418","787064287",TRUE,TRUE
"129",633590687,"633590687",902193418,"171937884","787064287","902193418","902193418",TRUE,TRUE
"130",857265979,"857265979",902193418,"171937884","787064287","902193418","902193418",TRUE,TRUE
"131",622968789,"622968789",828766803,"828766803","878688378","440597740","828766803",TRUE,TRUE
"132",696874548,"696874548",828766803,"828766803","878688378","440597740","828766803",TRUE,TRUE
"133",450630128,"450630128",828766803,"828766803","878688378","440597740","828766803",TRUE,TRUE
"134",309461541,"309461541",828766803,"828766803","878688378","440597740","828766803",TRUE,TRUE
"135",789637860,"789637860",828766803,"828766803","878688378","440597740","828766803",TRUE,TRUE
"136",795253129,"795253129",828766803,"828766803","878688378","440597740","828766803",TRUE,TRUE
"137",780298998,"780298998",828766803,"828766803","878688378","440597740","828766803",TRUE,TRUE
"138",706592013,"706592013",878688378,"828766803","878688378","440597740","878688378",TRUE,TRUE
"139",585473282,"585473282",878688378,"828766803","878688378","440597740","878688378",TRUE,TRUE
"140",814137809,"814137809",878688378,"828766803","878688378","440597740","878688378",TRUE,TRUE
"141",876521406,"876521406",878688378,"828766803","878688378","440597740","878688378",TRUE,TRUE
"142",573998459,"573998459",440597740,"828766803","878688378","440597740","440597740",TRUE,TRUE
"143",760197341,"760197341",440597740,"828766803","878688378","440597740","440597740",TRUE,TRUE
"144",234037089,"234037089",376408004,"376408004","173413183","200086909","376408004",TRUE,TRUE
"145",416862112,"416862112",376408004,"376408004","173413183","200086909","376408004",TRUE,TRUE
"146",671149035,"671149035",376408004,"376408004","173413183","200086909","376408004",TRUE,TRUE
"147",556576930,"556576930",376408004,"376408004","173413183","200086909","376408004",TRUE,TRUE
"148",304326324,"304326324",376408004,"376408004","173413183","200086909","376408004",TRUE,TRUE
"149",812433386,"812433386",376408004,"376408004","173413183","200086909","376408004",TRUE,TRUE
"150",477319994,"477319994",376408004,"376408004","173413183","200086909","376408004",TRUE,TRUE
"151",416620941,"416620941",173413183,"376408004","173413183","200086909","173413183",TRUE,TRUE
"152",915859406,"915859406",173413183,"376408004","173413183","200086909","173413183",TRUE,TRUE
"153",354833686,"354833686",173413183,"376408004","173413183","200086909","173413183",TRUE,TRUE
"154",661148931,"661148931",173413183,"376408004","173413183","200086909","173413183",TRUE,TRUE
"155",351319555,"351319555",200086909,"376408004","173413183","200086909","200086909",TRUE,TRUE
"156",154163153,"154163153",200086909,"376408004","173413183","200086909","200086909",TRUE,TRUE
"157",476938134,"476938134",279093430,"279093430","657986901","509526051","279093430",TRUE,TRUE
"158",561635035,"561635035",279093430,"279093430","657986901","509526051","279093430",TRUE,TRUE
"159",134210521,"134210521",279093430,"279093430","657986901","509526051","279093430",TRUE,TRUE
"160",715370929,"715370929",279093430,"279093430","657986901","509526051","279093430",TRUE,TRUE
"161",109991481,"109991481",279093430,"279093430","657986901","509526051","279093430",TRUE,TRUE
"162",494380686,"494380686",279093430,"279093430","657986901","509526051","279093430",TRUE,TRUE
